source_id,ra,dec,parallax,phot_g_mean_mag,phot_rp_mean_mag,grvs_mag_nb_transits,teff_gspphot
4041864774588337920,267.0487221823791,-33.788508206541955,,20.70257,,,
4041864774588353280,267.04516049483647,-33.790232361774606,,20.849268,,,
4041864774588833408,267.05356887320204,-33.78816148211708,,20.580622,19.291975,,
4041864774588834560,267.05539796103506,-33.783681129603465,,20.483335,,,
4041864804529319296,267.0703626641086,-33.79141994148353,0.06704851821782856,16.501738,15.326814,,6741.7188
4041864804530795520,267.0729303050472,-33.78559595661127,-0.01850001263958703,15.555372,14.190474,,6191.8037
4041864804531875712,267.08080914398676,-33.79801012458778,0.15062404758582001,17.983286,16.691559,,4482.635
4041864804531893376,267.07296637298276,-33.791406444588276,-0.003952978901806271,17.123562,15.825908,,5269.036
4041864804531905536,267.0807499657341,-33.78331786583598,0.04860385562663476,16.9783,15.6584215,,4690.4224
4041864804531905792,267.0789140449461,-33.789969447778496,,18.49518,,,
4041864804531906048,267.0836801753699,-33.787575497054554,-0.08333973507091748,17.775328,16.559645,,4862.105
4041864804538965248,267.07881389400194,-33.791126784979596,0.15228142394384625,17.710608,16.512943,,4428.6367
4041864804551942400,267.06972055205307,-33.78987972049462,0.3740376008613268,19.450226,17.352528,,
4041864804551955456,267.0719282646632,-33.788019619788024,0.10592925093416256,16.865976,15.5151005,,5446.9795
4041864804551968896,267.07451333829647,-33.78740339085897,1.8085880408071269,19.14966,,,
5407781163356608512,149.39379192304082,-48.964873987600136,-0.22050057493252714,20.379343,19.69716,,
5407781163356609152,149.3970797872882,-48.964800346563464,0.5460830248082604,15.0086,14.255477,15,5567.7334
5407781163356609408,149.4003493307216,-48.96614738042868,0.18998113786117357,17.031906,16.220228,,
5407781163358414976,149.39766177272898,-48.97156705387957,0.3358483167544559,16.939291,16.177359,,5455.5894
5407781193408766720,149.40372649541715,-48.96539208847281,0.24095468765610423,18.831366,18.085405,,4282.31
5407781193408780160,149.41344541517097,-48.96387745389159,0.24197625604705378,18.74628,18.030256,,4425.8975
5407781193408815104,149.4043989846491,-48.96005031318418,0.03078406110595059,18.525763,17.743496,,4405.0874
5407781193408815232,149.40465468017223,-48.95847413839421,0.06928758304702437,18.61871,17.87713,,4329.7393
5407781193408834176,149.41242404077727,-48.95589128264922,0.5098303588781118,19.358555,18.600704,,
5407781193408848640,149.40398880610468,-48.95367631521635,0.07480349649369848,19.261213,18.518429,,
5407781193408850048,149.41466787634644,-48.95983612701952,0.3681503086112305,17.46751,16.683262,,5107.928
5407781193408877184,149.40423086339578,-48.9490545892571,0.6959058336560617,19.288422,18.515308,,
5407781193411943040,149.3988021158494,-48.954684183811004,0.14015518421854395,17.799957,17.093384,,4884.886
5407781193413739648,149.39785888437586,-48.95768725016143,0.9389740980071644,18.837292,17.966917,,4572.273
5407437600328981120,151.87203018861877,-48.47085230044437,0.4882791320714852,19.337963,18.6379,,
5407437600328981504,151.87395276804517,-48.47104910672698,0.4473887393474241,17.522902,16.878313,,4715.523
5407437600328982400,151.88524486090657,-48.4749894128573,3.1254476516683654,13.626218,12.95355,18,4846.861
5407437600328982528,151.885494140931,-48.47406918485998,0.5884720529970088,19.09144,17.692469,,
5407437600328983552,151.8801219359885,-48.46890046748659,0.32736960045759766,18.168234,17.513252,,4704.8203
5407437600333590784,151.87450578608173,-48.47806404331493,-0.04352927804083287,19.874704,19.134075,,
5407437600333591936,151.88516859544416,-48.474240790938744,,20.786926,,,
5407437600333592448,151.87194223115876,-48.462585298653956,-0.08441974182146798,20.253307,19.724886,,
5407437630386882560,151.90715341720139,-48.48148706170033,0.18617889356083095,19.929245,19.197735,,
5407437630386915328,151.89809605493693,-48.47310498448711,0.33574866254784286,16.943327,16.310291,,5220.114
5407437630386915456,151.89696740701785,-48.47195871623433,0.06847737151031588,16.895018,16.151691,,
5407437630386927616,151.89779470397198,-48.46733453061437,-0.0733020068587152,19.998745,19.169579,,
5407437630386942848,151.89457011995924,-48.46351770614367,0.35870949548154646,20.182316,19.619965,,
5407437630386944128,151.90184370467807,-48.462844814510035,-0.10740293041859743,19.925385,19.382835,,
5407437634677713792,151.90095644638626,-48.47358342135542,0.013739531904011101,18.829206,18.200674,,4845.172
3436666567784185216,92.12054291605676,29.161483241847023,0.11097997247214433,15.897302,14.922451,,
3436666597847140352,92.0930815713945,29.159447092344017,0.48456429374137094,19.875013,19.263119,,
3436666597847141632,92.10443972669036,29.159699677687158,0.5700559359131102,17.221338,16.434517,,4671.019
3436666597847143168,92.10620394337889,29.161125595873624,0.7315860130691096,19.580061,18.550198,,
3436666597847146240,92.09140029498651,29.162754594758738,0.37922563799795433,17.991144,17.285635,,4813.1836
3436666597847146496,92.09981664401947,29.163000662515508,0.6010641170452791,16.865614,16.11619,,5207.7656
3436666597847147648,92.09508455622964,29.164932416500417,1.6439321379780074,20.252039,19.618538,,
3436666602141884160,92.10412964181907,29.15855606635984,-1.1263102330855688,20.38559,19.322557,,
3436666602143420544,92.09820417118272,29.16797207501619,0.8511971720330855,20.509453,19.783146,,
3436666602143639040,92.09846343897688,29.156979695000064,,20.783737,19.538073,,
3436666602143923968,92.1014905435176,29.1607691855515,0.4589041028305771,16.41814,15.719659,,5611.0723
3436666632206890496,92.10601094211748,29.170001785614343,1.142816533554181,16.9221,16.065964,,4459.9565
3436666632206892288,92.10992026753894,29.17259462797321,1.5139127519229159,20.09611,18.629131,,
